questions,keys,datadic
Blending Words descriptive rating,BW_desc,CTOPP
Nonword Repetition raw score,NR_raw,CTOPP
Nonword Repetition percentile score,NR_percentile,CTOPP
Nonword Repetition scaled score,NR_scaled,CTOPP
Nonword Repetition descriptive rating,NR_desc,CTOPP
Rapid Digit Naming raw score,RD_raw,CTOPP
Rapid Digit Naming percentile score,RD_percentile,CTOPP
Rapid Digit Naming scaled score,RD_scaled,CTOPP
Rapid Digit Naming descriptive rating,RD_desc,CTOPP
Rapid Letter Naming raw score,RL_raw,CTOPP
Rapid Letter Naming percentile score,RL_percentile,CTOPP
Rapid Letter Naming scaled score,RL_scaled,CTOPP
Rapid Letter Naming descriptive rating,RL_desc,CTOPP
Rapid Object Naming raw score,RO_raw,CTOPP
Rapid Object Naming percentile score,RO_percentile,CTOPP
Rapid Object Naming scaled score,RO_scaled,CTOPP
Rapid Object Naming descriptive rating,RO_desc,CTOPP
Rapid Symbolic Naming (RD+RL) sum score,RSN_sum,CTOPP
Rapid Symbolic Naming (RD+RL) percentile score,RSN_percentile,CTOPP
Rapid Symbolic Naming (RD+RL) composite score,RSN_composite,CTOPP
Rapid Symbolic Naming (RD+RL) descriptive rating,RSN_desc,CTOPP
Visit ID,Visit_Number,DailyMed
Hours of sleep,hours_sleep,DailyMed
Did the participant take any medications on day of visit?,medications,DailyMed
Medication Type (1),med_type_01,DailyMed
Medication Name (1),med_name_01,DailyMed
Medication Dose (1),med_dose_01,DailyMed
Medication Time Taken (1),med_time_01,DailyMed
Medication Type (2),med_type_02,DailyMed
Medication Name (2),med_name_02,DailyMed
Medication Dose (2),med_dose_02,DailyMed
Medication Time Taken (2),med_time_02,DailyMed
Medication Type (3),med_type_03,DailyMed
Medication Name (3),med_name_03,DailyMed
Medication Dose (3),med_dose_03,DailyMed
Medication Time Taken (3),med_time_03,DailyMed
Did the participant take any caffeine on day of visit?,caffiene,DailyMed
What kind? (1),caff_01,DailyMed
Amount (1),caff_amt_01,DailyMed
Time (1),caff_time_01,DailyMed
What kind? (2),caff_02,DailyMed
Amount (2),caff_amt_02,DailyMed
Time (2),caff_time_02,DailyMed
Did the participant take any nicotine on day of visit?,nicotine,DailyMed
What kind? (1),nic_01,DailyMed
Amount (1),nic_amt_01,DailyMed
Time (1),nic_time_01,DailyMed
What kind? (2),nic_02,DailyMed
Amount (2),nic_amt_02,DailyMed
Time (2),nic_time_02,DailyMed
Did the participant take any alcohol on day of visit?,alcohol,DailyMed
What kind? (1),alc_01,DailyMed
Amount (1),alc_amt_01,DailyMed
Time (1),alc_time_01,DailyMed
What kind? (2),alc_02,DailyMed
Amount (2),alc_amt_02,DailyMed
Time (2),alc_time_02,DailyMed
Did the participant take any non-prescription drugs on day of visit?,drugs,DailyMed
What kind? (1),drugs_01,DailyMed
Amount (1),drugs_amt_01,DailyMed
Time (1),drugs_time_01,DailyMed
What kind? (2),drugs_02,DailyMed
Amount (2),drugs_amt_02,DailyMed
Time (2),drugs_time_02,DailyMed
PatientCode,EID,Diagnosis_KSADS
UserType,KSADS_002,Diagnosis_KSADS
Major Depressive Disorder Present,KSADS_003,Diagnosis_KSADS
"Major Depressive Disorder, Current, in Partial Remission (F32.4)",KSADS_004,Diagnosis_KSADS
"Major Depressive Disorder, Past (F32.9)",KSADS_005,Diagnosis_KSADS
Persistent Depressive Disorder (Dysthymia) PRESENT F34.1,KSADS_006,Diagnosis_KSADS
Persistent Depressive Disorder (Dysthymia) In Partial Remission F34.1,KSADS_007,Diagnosis_KSADS
Persistent Depressive Disorder (Dysthymia) PAST F34.1,KSADS_008,Diagnosis_KSADS
Unspecified Depressive Disorder Current (F32.9),KSADS_009,Diagnosis_KSADS
Unspecified Depressive Disorder PAST (F32.9),KSADS_010,Diagnosis_KSADS
"Anhedonia related to PTSD, Present",KSADS_011,Diagnosis_KSADS
"Anhedonia related to PTSD, Past",KSADS_012,Diagnosis_KSADS
"Depressed Mood, Present",KSADS_013,Diagnosis_KSADS
"Depressed Mood, Past",KSADS_014,Diagnosis_KSADS
"Irritability, Present",KSADS_015,Diagnosis_KSADS
"Irritability, Past",KSADS_016,Diagnosis_KSADS
"Anhedonia, Present",KSADS_017,Diagnosis_KSADS
"Anhedonia, Past",KSADS_018,Diagnosis_KSADS
"Insomnia when depressed, Past",KSADS_019,Diagnosis_KSADS
"Hypersomnia, Present",KSADS_020,Diagnosis_KSADS
"Hypersomnia, Past",KSADS_021,Diagnosis_KSADS
"Fatigue, Present",KSADS_022,Diagnosis_KSADS
"Fatigue, Past",KSADS_023,Diagnosis_KSADS
"Concentration Disturbance, Present",KSADS_024,Diagnosis_KSADS
"Concentration Disturbance, Past",KSADS_025,Diagnosis_KSADS
"Indecision, Present",KSADS_026,Diagnosis_KSADS
"Indecision, Past",KSADS_027,Diagnosis_KSADS
"Decreased Appetite, Present",KSADS_028,Diagnosis_KSADS
"Decreased Appetite, Past",KSADS_029,Diagnosis_KSADS
"Weight Loss, Present",KSADS_030,Diagnosis_KSADS
"Weight Loss, Past",KSADS_031,Diagnosis_KSADS
"Increased Appetite, Present",KSADS_032,Diagnosis_KSADS
"Increased Appetite, Past",KSADS_033,Diagnosis_KSADS
"Weight Gain, Present",KSADS_034,Diagnosis_KSADS
"Weight Gain, Past",KSADS_035,Diagnosis_KSADS
"Psychomotor Agitation in Depressive Disorder, Present",KSADS_036,Diagnosis_KSADS
"Psychomotor Agitation in Depressive Disorder, Past",KSADS_037,Diagnosis_KSADS
"Psychomotor Retardation, Present",KSADS_038,Diagnosis_KSADS
"Psychomotor Retardation, Past",KSADS_039,Diagnosis_KSADS
"Guilt, Present",KSADS_040,Diagnosis_KSADS
"Guilt, Past",KSADS_041,Diagnosis_KSADS
"Hopeless, Present",KSADS_042,Diagnosis_KSADS
"Hopeless, Past",KSADS_043,Diagnosis_KSADS
"Decreased Self-Esteem, Present",KSADS_044,Diagnosis_KSADS
"Decreased Self-Esteem, Past",KSADS_045,Diagnosis_KSADS
"Impairment in functioning due to depression, Present",KSADS_046,Diagnosis_KSADS
"Impairment in functioning due to depression, Past",KSADS_047,Diagnosis_KSADS
"Presence of two or more depressive symptoms, Present",KSADS_048,Diagnosis_KSADS
"Presence of two or more depressive symptoms, Past",KSADS_049,Diagnosis_KSADS
"No two month symptom-free interval, Present",KSADS_050,Diagnosis_KSADS
"No two month symptom-free interval, Past",KSADS_051,Diagnosis_KSADS
"Bipolar I Disorder, current episode manic (F31.1x)",KSADS_052,Diagnosis_KSADS
"Bipolar I Disorder, current episode depressed, F31.3x",KSADS_053,Diagnosis_KSADS
"Bipolar I Disorder, currently hypomanic  F31.0",KSADS_054,Diagnosis_KSADS
"Bipolar I Disorder, most recent past episode manic (F31.1x)",KSADS_055,Diagnosis_KSADS
"Bipolar I Disorder, most recent past episode depressed (F31.1.3x)",KSADS_056,Diagnosis_KSADS
"Bipolar II Disorder, currently hypomanic 'F",KSADS_057,Diagnosis_KSADS
"Bipolar II Disorder, currently depressed F31.81",KSADS_058,Diagnosis_KSADS
"Bipolar II Disorder, most recent past hypomanic 'F",KSADS_059,Diagnosis_KSADS
"Unspecified Bipolar and Related Disorder, current '(F",KSADS_060,Diagnosis_KSADS
"Unspecified Bipolar and Related Disorder, PAST (F31.9)",KSADS_061,Diagnosis_KSADS
"Elevated Mood, Present",KSADS_062,Diagnosis_KSADS
"Elevated Mood, Past",KSADS_063,Diagnosis_KSADS
"Explosive Irritability, Present",KSADS_064,Diagnosis_KSADS
"ExplosiveIrritability, PresentNext '",KSADS_065,Diagnosis_KSADS
"Explosive Irritability, Past",KSADS_066,Diagnosis_KSADS
"Decreased Need for Sleep, Present",KSADS_067,Diagnosis_KSADS
"Decreased Need for Sleep, Past",KSADS_068,Diagnosis_KSADS
"Hypersexuality, Present",KSADS_069,Diagnosis_KSADS
"Hypersexuality, Past",KSADS_070,Diagnosis_KSADS
Preliminary substance rule out bipolar present,KSADS_071,Diagnosis_KSADS
Preliminary substance rule out bipolar past,KSADS_072,Diagnosis_KSADS
"Elevated / Euphoric Mood, Present",KSADS_073,Diagnosis_KSADS
"Manic Irritability, Present",KSADS_074,Diagnosis_KSADS
"Elevated / Euphoric Mood, Past",KSADS_075,Diagnosis_KSADS
"Manic Irritability, Past",KSADS_076,Diagnosis_KSADS
"Grandiosity, Present",KSADS_077,Diagnosis_KSADS
"Grandiosity, Past",KSADS_078,Diagnosis_KSADS
"Pressured Speech, Present",KSADS_079,Diagnosis_KSADS
"Pressured Speech, Past",KSADS_080,Diagnosis_KSADS
"Racing Thoughts, Present",KSADS_081,Diagnosis_KSADS
"Racing Thoughts, Past",KSADS_082,Diagnosis_KSADS
"Flight of Ideas, Present",KSADS_083,Diagnosis_KSADS
"Flight of Ideas, Past",KSADS_084,Diagnosis_KSADS
"Increased Goal Directed Activity, Present",KSADS_085,Diagnosis_KSADS
"Increased Goal Directed Activity, Past '",KSADS_086,Diagnosis_KSADS
"Increased Energy, Present",KSADS_087,Diagnosis_KSADS
"Increased Energy, Past",KSADS_088,Diagnosis_KSADS
"Psychomotor Agitation in Bipolar Disorder, Present",KSADS_089,Diagnosis_KSADS
"Psychomotor Agitation in Bipolar Disorder, Past",KSADS_090,Diagnosis_KSADS
"Distractibility, Present",KSADS_091,Diagnosis_KSADS
"Increased Distractibility, Present",KSADS_092,Diagnosis_KSADS
"Distractibility, Past",KSADS_093,Diagnosis_KSADS
"Increased Distractibility, 'P",KSADS_094,Diagnosis_KSADS
"Excessive Involvement in high risk activities, Present",KSADS_095,Diagnosis_KSADS
"Excessive Involvement in high risk activities, Past",KSADS_096,Diagnosis_KSADS
"Impairment in functioning due to bipolar, Present",KSADS_097,Diagnosis_KSADS
"Impairment in functioning due to bipolar, Past",KSADS_098,Diagnosis_KSADS
"Hospitalized due to Bipolar Disorder, Present",KSADS_099,Diagnosis_KSADS
"Hospitalized due to Bipolar Disorder, Past",KSADS_100,Diagnosis_KSADS
"Lasting at least one week, Present",KSADS_101,Diagnosis_KSADS
"Lasting at least one week, Past",KSADS_102,Diagnosis_KSADS
"Lasting at least 4 days, Present",KSADS_103,Diagnosis_KSADS
"Lasting at least 4 days, Past",KSADS_104,Diagnosis_KSADS
Disruptive Mood Dysregulation Disorder (DMDD) Current (F34.8),KSADS_105,Diagnosis_KSADS
Temper outbursts occur 3 or more times per week,KSADS_106,Diagnosis_KSADS
Present at least 12 months,KSADS_107,Diagnosis_KSADS
No 3 month period without symptoms,KSADS_108,Diagnosis_KSADS
Temper/irritability present in at least 2 settings,KSADS_109,Diagnosis_KSADS
Associated Psychotic Symptoms ',KSADS_110,Diagnosis_KSADS
Associated Psychotic Symptoms ',KSADS_111,Diagnosis_KSADS
Unspecified Schizophrenia Spectrum and Other Psychotic Disorder F29 (Current),KSADS_112,Diagnosis_KSADS
Unspecified Schizophrenia Spectrum and Other Psychotic Disorder F29 (Past),KSADS_113,Diagnosis_KSADS
Hallucinations (Present),KSADS_114,Diagnosis_KSADS
Hallucinations (Past),KSADS_115,Diagnosis_KSADS
Delusions (Present),KSADS_116,Diagnosis_KSADS
Delusions (Past),KSADS_117,Diagnosis_KSADS
"Hallucinations, Present",KSADS_118,Diagnosis_KSADS
"Hallucinations, Past",KSADS_119,Diagnosis_KSADS
"Persecutory Delusions, Past two weeks, Present",KSADS_120,Diagnosis_KSADS
"Persecutory Delusions, Past",KSADS_121,Diagnosis_KSADS
"Auditory Hallucinations, Present '",KSADS_122,Diagnosis_KSADS
"Auditory Hallucinations, Past",KSADS_123,Diagnosis_KSADS
"Other Hallucinations, Present",KSADS_124,Diagnosis_KSADS
"Other Hallucinations, Past",KSADS_125,Diagnosis_KSADS
"Location of voices/noises outside of one's head, Present",KSADS_126,Diagnosis_KSADS
"OtherHallucinationsALTW, Present",KSADS_127,Diagnosis_KSADS
"OtherHallucinationsAP, Present",KSADS_128,Diagnosis_KSADS
"Hallucinations occur frequently, Present",KSADS_129,Diagnosis_KSADS
"Hallucinations occur frequently, Past",KSADS_130,Diagnosis_KSADS
"Hallucinations do not only occur when falling asleep, Present",KSADS_131,Diagnosis_KSADS
"Hallucinations do not only occur when falling asleep, Past",KSADS_132,Diagnosis_KSADS
"Hallucinations associated with possible affective Illness, Present",KSADS_133,Diagnosis_KSADS
"Hallucinations associated with possible affective Illness, Past",KSADS_134,Diagnosis_KSADS
"Hallucinations associated with drug use, Present",KSADS_135,Diagnosis_KSADS
"Hallucinations associated with drug use, Past",KSADS_136,Diagnosis_KSADS
"Impairment in functioning due to hallucinations, Present",KSADS_137,Diagnosis_KSADS
"Impairment in functioning due to hallucinations, Past",KSADS_138,Diagnosis_KSADS
"Impairment in functioning due to delusions, Present",KSADS_139,Diagnosis_KSADS
"Other Delusions past two weeks, Present",KSADS_140,Diagnosis_KSADS
"Other Delusions, Past",KSADS_141,Diagnosis_KSADS
"Tenacity of belief that delusion is true, Present",KSADS_142,Diagnosis_KSADS
"Tenacity of belief that delusion is true, Past",KSADS_143,Diagnosis_KSADS
"Delusions associated with possible affective Illness, Present",KSADS_144,Diagnosis_KSADS
"Delusions associated with possible affective Illness, Past",KSADS_145,Diagnosis_KSADS
"Delusions associated with drug use, Present",KSADS_146,Diagnosis_KSADS
"Delusions associated with drug use, Past",KSADS_147,Diagnosis_KSADS
"Impairment associated with delusions, Present",KSADS_148,Diagnosis_KSADS
"Impairment associated with delusions, Past",KSADS_149,Diagnosis_KSADS
"Associated Psychotic Symptoms, Present",KSADS_150,Diagnosis_KSADS
"Associated Psychotic Symptoms, Past",KSADS_151,Diagnosis_KSADS
"No three month interval without symptoms, Past",KSADS_152,Diagnosis_KSADS
Panic Disorder (F41.0) PRESENT,KSADS_153,Diagnosis_KSADS
Panic Disorder (F41.0) PAST,KSADS_154,Diagnosis_KSADS
"Other Specified Anxiety Disorder (Panic Disorder, impairment, does not meet full criteria), F41.8",KSADS_155,Diagnosis_KSADS
"Other Specified Anxiety Disorder, PAST, (Panic Disorder, impairment, does not meet full criteria), F41.8",KSADS_156,Diagnosis_KSADS
"Panic Attacks, Present",KSADS_157,Diagnosis_KSADS
"Panic Attacks, Past",KSADS_158,Diagnosis_KSADS
"Panic Symptoms, Present",KSADS_159,Diagnosis_KSADS
"Panic Symptoms, Past",KSADS_160,Diagnosis_KSADS
"Persistent worry about additional attacks or their consequences, Present",KSADS_161,Diagnosis_KSADS
"Persistent worry about additional attacks or their consequences, Past",KSADS_162,Diagnosis_KSADS
"Maladaptive change in behavior due to attacks, Present",KSADS_163,Diagnosis_KSADS
"Maladaptive change in behavior due to attacks, Past",KSADS_164,Diagnosis_KSADS
"Duration of worry or maladaptive behavior at least 1 month, Present",KSADS_165,Diagnosis_KSADS
"Duration of worry or maladaptive behavior at least 1 month, Past",KSADS_166,Diagnosis_KSADS
"Attacks not attributable to substance use, Present",KSADS_167,Diagnosis_KSADS
"Attacks not attributable to substance use, Past",KSADS_168,Diagnosis_KSADS
"Other Specified Anxiety Disorder (Agoraphobia, impairment, does not meet full criteria), F41.8",KSADS_169,Diagnosis_KSADS
Agoraphobia (F40.00) PRESENT,KSADS_170,Diagnosis_KSADS
Agoraphobia (F40.00) PAST,KSADS_171,Diagnosis_KSADS
"Agoraphobic of at least 2 situations, Present",KSADS_172,Diagnosis_KSADS
"Agoraphobic of at least 2 situations, Past",KSADS_173,Diagnosis_KSADS
"Excessive avoidance of agoraphobic situations, Present",KSADS_174,Diagnosis_KSADS
"Excessive avoidance of agoraphobic situations, Past",KSADS_175,Diagnosis_KSADS
"Reason for agoraphobic avoidance, Present",KSADS_176,Diagnosis_KSADS
"Reason for agoraphobic avoidance, Past",KSADS_177,Diagnosis_KSADS
"Impairment in functioning due to Agoraphobia, Present",KSADS_178,Diagnosis_KSADS
"Impairment in functioning due to 'Agoraphobia,",KSADS_179,Diagnosis_KSADS
"Clinically significant distress due to Agoraphobia, Present",KSADS_180,Diagnosis_KSADS
"Clinically significant distress due to Agoraphobia, Past",KSADS_181,Diagnosis_KSADS
Separation Anxiety Disorder (F93.00) PRESENT,KSADS_182,Diagnosis_KSADS
Separation Anxiety Disorder (F93.00) PAST,KSADS_183,Diagnosis_KSADS
"Other Specified Anxiety Disorder (Separation Anxiety Disorder, impairment, does not meet full criteria), F41.8",KSADS_184,Diagnosis_KSADS
"Other Specified Anxiety Disorder (Separation Anxiety Disorder, impairment, does not meet full criteria) PAST, F41.8",KSADS_185,Diagnosis_KSADS
"Distress upon separation from home/attachment figures, Present",KSADS_186,Diagnosis_KSADS
"Distress upon separation from home/attachment figures, Past",KSADS_187,Diagnosis_KSADS
"School Reluctance/Refusal, Present",KSADS_188,Diagnosis_KSADS
"School Reluctance/Refusal, Past",KSADS_189,Diagnosis_KSADS
"Fears calamitous event that will cause separation, Present",KSADS_190,Diagnosis_KSADS
"Fears calamitous event that will cause separation, Past",KSADS_191,Diagnosis_KSADS
"Worry about harm befalling attachment figure, Present",KSADS_192,Diagnosis_KSADS
"Worry about harm befalling attachment figure, Past",KSADS_193,Diagnosis_KSADS
"Fear of being alone without attachment figure, Present",KSADS_194,Diagnosis_KSADS
"Fear of being alone without attachment figure, Past",KSADS_195,Diagnosis_KSADS
"Refusal to sleep without attachment figure near, Present",KSADS_196,Diagnosis_KSADS
"Refusal to sleep without attachment figure near, '",KSADS_197,Diagnosis_KSADS
"Nightmares about separation themes, Present",KSADS_198,Diagnosis_KSADS
"Nightmares about separation themes, Past",KSADS_199,Diagnosis_KSADS
"Physical symptoms when separated from attachment figure, Present",KSADS_200,Diagnosis_KSADS
"Physical symptoms when separated from attachment figure, '",KSADS_201,Diagnosis_KSADS
"Impairment in functioning due to separation anxiety, Present",KSADS_202,Diagnosis_KSADS
"Impairment in functioning due to separation anxiety, Past",KSADS_203,Diagnosis_KSADS
"Clinically significant distress due to separation anxiety, Present",KSADS_204,Diagnosis_KSADS
"Clinically significant distress due to separation anxiety, Past",KSADS_205,Diagnosis_KSADS
"Separation anxiety duration is at least 4 weeks, Present",KSADS_206,Diagnosis_KSADS
"Separation anxiety duration was at least 4 weeks, Past",KSADS_207,Diagnosis_KSADS
Separation anxiety duration is at least 2 weeks,KSADS_208,Diagnosis_KSADS
Separation anxiety (past) duration was at least 2 weeks,KSADS_209,Diagnosis_KSADS
"Other Specified Anxiety Disorder (Social Anxiety Disorder, impairment, does not meet minimum duration) F41.8",KSADS_210,Diagnosis_KSADS
"Other Specified Anxiety Disorder (Social Anxiety Disorder, impairment, does not meet minimum duration), PAST, '",KSADS_211,Diagnosis_KSADS
Social Anxiety Disorder (F40.10) PRESENT,KSADS_212,Diagnosis_KSADS
Social Anxiety Disorder (F40.10) PAST,KSADS_213,Diagnosis_KSADS
"Fear of Social Situations, Present",KSADS_214,Diagnosis_KSADS
"Duration (at least 6 months), Present",KSADS_215,Diagnosis_KSADS
"Fear of Social Situations, Past",KSADS_216,Diagnosis_KSADS
"Social situations invariably provoke anxiety, Present",KSADS_217,Diagnosis_KSADS
"Social situations invariably provoke 'anxiety,",KSADS_218,Diagnosis_KSADS
"Social situations avoided or endured with distress, Present",KSADS_219,Diagnosis_KSADS
"Social situations avoided or endured with distress, Past",KSADS_220,Diagnosis_KSADS
"Social fear is excessive given threat or sociocultural context, Present",KSADS_221,Diagnosis_KSADS
"Social fear is excessive given threat or sociocultural context, '",KSADS_222,Diagnosis_KSADS
"Impairment in functioning due to social anxiety, Present",KSADS_223,Diagnosis_KSADS
"Impairment in functioning due to social anxiety, Past",KSADS_224,Diagnosis_KSADS
"Clinically significant distress due to Social Anxiety, Present",KSADS_225,Diagnosis_KSADS
"Clinically significant distress due to Social Anxiety, Past",KSADS_226,Diagnosis_KSADS
"Duration (at least 6 months), Past",KSADS_227,Diagnosis_KSADS
Specific Phobia 'PRESENT (F40,KSADS_228,Diagnosis_KSADS
Specific Phobia 'PAST (F40,KSADS_229,Diagnosis_KSADS
"Marked fear of phobic object, Present",KSADS_230,Diagnosis_KSADS
"Marked fear of phobic object, Past",KSADS_231,Diagnosis_KSADS
"PhobicObjectSpecialCase, Past",KSADS_232,Diagnosis_KSADS
"Active avoidance of phobic object, Present",KSADS_233,Diagnosis_KSADS
"Active avoidance of phobic object, Past",KSADS_234,Diagnosis_KSADS
"Impairment due to fear or avoidance of phobic object, Present",KSADS_235,Diagnosis_KSADS
"Impairment due to fear or avoidance of phobic object, Past",KSADS_236,Diagnosis_KSADS
"Distress due to fear or avoidance of phobic object, Present",KSADS_237,Diagnosis_KSADS
"Distress due to fear or avoidance of phobic object, Past",KSADS_238,Diagnosis_KSADS
"Duration of phobia at least 6 months, Present",KSADS_239,Diagnosis_KSADS
"Duration of past phobia at least 6 months, Present",KSADS_240,Diagnosis_KSADS
Generalized Anxiety Disorder 'Present,KSADS_241,Diagnosis_KSADS
Generalized Anxiety Disorder 'Past,KSADS_242,Diagnosis_KSADS
"Other Specified Anxiety Disorder (Generalized Anxiety Disorder, impairment, does not meet minimum duration) F41.8",KSADS_243,Diagnosis_KSADS
"Other Specified Anxiety Disorder (Generalized Anxiety Disorder, impairment, does not meet minimum duration), PAST, '",KSADS_244,Diagnosis_KSADS
"Excessive worries more days than not, Present",KSADS_245,Diagnosis_KSADS
"Excessive worries more days than not, Past",KSADS_246,Diagnosis_KSADS
"Worrying has lasted at least 6 months, Present",KSADS_247,Diagnosis_KSADS
"Excessive worries across breadth of domains, Present",KSADS_248,Diagnosis_KSADS
"Excessive worries across breadth of domains, Past",KSADS_249,Diagnosis_KSADS
"Worry associated with defined symptom(s), Present",KSADS_250,Diagnosis_KSADS
"Worry associated with defined symptom(s), Past",KSADS_251,Diagnosis_KSADS
"Difficulty controlling worries, Present",KSADS_252,Diagnosis_KSADS
"Difficulty controlling worries, Past",KSADS_253,Diagnosis_KSADS
"Impairment in functioning due to worries, Present",KSADS_254,Diagnosis_KSADS
"Impairment in functioning due to worries, Past",KSADS_255,Diagnosis_KSADS
"Clinically significant distress due to worries, Present",KSADS_256,Diagnosis_KSADS
"Clinically significant distress due to worries, Past",KSADS_257,Diagnosis_KSADS
"Worrying has lasted at least 6 months, Past",KSADS_258,Diagnosis_KSADS
Obsessive-Compulsive Disorder 'Prese,KSADS_259,Diagnosis_KSADS
Obsessive-Compulsive Disorder 'Pa,KSADS_260,Diagnosis_KSADS
"Other Specified Obsessive-Compulsive and Related Disorder, present , does not meet full criteria (F42)",KSADS_261,Diagnosis_KSADS
"Other Specified Obsessive-Compulsive and Related Disorder, past, does not meet full criteria (F42)",KSADS_262,Diagnosis_KSADS
"Obsessive thoughts experienced as Intrusive/unwanted, Present",KSADS_263,Diagnosis_KSADS
"Obsessive thoughts experienced as Intrusive/unwanted, Past",KSADS_264,Diagnosis_KSADS
"Attempts to suppress or neutralize thoughts, Present",KSADS_265,Diagnosis_KSADS
"Attempts to suppress or neutralize thoughts, Past",KSADS_266,Diagnosis_KSADS
"Obsessions time consuming, Present",KSADS_267,Diagnosis_KSADS
"Obsessions time consuming, Past",KSADS_268,Diagnosis_KSADS
"Impairment in functioning due to obsessions, Present",KSADS_269,Diagnosis_KSADS
"Impairment in functioning due to obsessions, Past",KSADS_270,Diagnosis_KSADS
"Clinically significant distress due to obsessions, Present",KSADS_271,Diagnosis_KSADS
"Clinically significant distress due to obsessions, Past",KSADS_272,Diagnosis_KSADS
"Compulsions time consuming, Present",KSADS_273,Diagnosis_KSADS
"Compulsions time consuming, Past",KSADS_274,Diagnosis_KSADS
"Purpose of compulsions to prevent/reduce anxiety or prevent dreaded event, Present",KSADS_275,Diagnosis_KSADS
"Purpose of compulsions to prevent/reduce anxiety or prevent dreaded event, Past",KSADS_276,Diagnosis_KSADS
"Impairment in functioning due to compulsions, Present",KSADS_277,Diagnosis_KSADS
"Impairment in functioning due to compulsions, Past",KSADS_278,Diagnosis_KSADS
"Clinically significant distress due to compulsions, Present",KSADS_279,Diagnosis_KSADS
"Clinically significant distress due to compulsions, Past",KSADS_280,Diagnosis_KSADS
"Obsessions, Present",KSADS_281,Diagnosis_KSADS
"Obsessions, Past",KSADS_282,Diagnosis_KSADS
"Compulsions, Present",KSADS_283,Diagnosis_KSADS
"Compulsions, Past",KSADS_284,Diagnosis_KSADS
"Enuresis, Present (F98.0)",KSADS_285,Diagnosis_KSADS
"Enuresis, Past (F98.0)",KSADS_286,Diagnosis_KSADS
"Encopresis, Present (F98.1)",KSADS_287,Diagnosis_KSADS
"Encopresis, Past (F98.1)",KSADS_288,Diagnosis_KSADS
"Enuresis, Present",KSADS_289,Diagnosis_KSADS
"Enuresis, Past",KSADS_290,Diagnosis_KSADS
"Enuresis at least twice a week for 3 months, Present",KSADS_291,Diagnosis_KSADS
"Enuresis at least twice a week for 3 months, Past",KSADS_292,Diagnosis_KSADS
"Enuresis causes significant distress, Present",KSADS_293,Diagnosis_KSADS
"Enuresis causes significant distress, Past",KSADS_294,Diagnosis_KSADS
"Impairment due to Enuresis, Present",KSADS_295,Diagnosis_KSADS
"Impairment due to Enuresis, Past",KSADS_296,Diagnosis_KSADS
"Encopresis, Present",KSADS_297,Diagnosis_KSADS
"Encopresis, Past",KSADS_298,Diagnosis_KSADS
"Encopresis at least once a month for '3 months, Pr",KSADS_299,Diagnosis_KSADS
"Encopresis at least once a month for '3 months,",KSADS_300,Diagnosis_KSADS
"Encopresis not due to medical illness, Present",KSADS_301,Diagnosis_KSADS
"Encopresis not due to medical illness, Past",KSADS_302,Diagnosis_KSADS
"Anorexia Nervosa (F50.02) 'Binge eating/purging subtype, PR",KSADS_303,Diagnosis_KSADS
"Anorexia Nervosa (F50.02) 'Binge eating/purging subtype, PRESENT, IN PARTIAL REMI",KSADS_304,Diagnosis_KSADS
"Anorexia Nervosa (F50.02) Binge eating/purging subtype, PAST",KSADS_305,Diagnosis_KSADS
"Anorexia Nervosa (F50.01) 'Restricting subtype, PR",KSADS_306,Diagnosis_KSADS
"Anorexia Nervosa (F50.01) 'Restricting subtype, PRESENT, IN PARTIAL REMI",KSADS_307,Diagnosis_KSADS
"Anorexia Nervosa (F50.01) Restricting subtype,PAST",KSADS_308,Diagnosis_KSADS
Bulimia Nervosa (F50.2) PRESENT,KSADS_309,Diagnosis_KSADS
Bulimia Nervosa (F50.2) PAST,KSADS_310,Diagnosis_KSADS
Bulimia Nervosa Partial Remission Present,KSADS_311,Diagnosis_KSADS
Binge-Eating Disorder (F50.8) CURRENT,KSADS_312,Diagnosis_KSADS
"Binge-Eating Disorder (F50.8) current, in partial remission",KSADS_313,Diagnosis_KSADS
Binge-Eating Disorder (F50.8) PAST,KSADS_314,Diagnosis_KSADS
"Other Specified Feeding or Eating Disorder, Anorexia Nervosa, current, does not meet full criteria (F50.8)",KSADS_315,Diagnosis_KSADS
"Other Specified Feeding or Eating Disorder, Bulimia Nervosa, current, does not meet full criteria (F50.8)",KSADS_316,Diagnosis_KSADS
"Other Specified Feeding or Eating Disorder, Bulimia Nervosa, PAST, does not meet full criteria (F50.8)",KSADS_317,Diagnosis_KSADS
"Other Specified Feeding or Eating Disorder, Binge Eating Disorder, present, does not meet full criteria (F50.8)",KSADS_318,Diagnosis_KSADS
"Fear of becoming obese, Present",KSADS_319,Diagnosis_KSADS
"Fear of becoming obese, Past",KSADS_320,Diagnosis_KSADS
"Emaciation, Present",KSADS_321,Diagnosis_KSADS
"Emaciation, Past",KSADS_322,Diagnosis_KSADS
"Weight control vomiting, Present",KSADS_323,Diagnosis_KSADS
"Weight control vomiting, Past",KSADS_324,Diagnosis_KSADS
"Weight control other (laxatives, exercise, dieting, pills), Present '",KSADS_325,Diagnosis_KSADS
"Weight control other (laxatives, exercise, dieting, pills), Past'",KSADS_326,Diagnosis_KSADS
"Binge Eating, Present",KSADS_327,Diagnosis_KSADS
"Binge Eating, Past",KSADS_328,Diagnosis_KSADS
